id,date,lon,lat,depth,type,level,loc,incident,city,province
2218,2019-07-16 19:12:29,122.48,24.22,33,ML,3.0,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2219,2019-07-16 01:41:29,91.19,31.77,6,Ms,4.3,西藏安多,天然地震,那曲市,西藏自治区
2220,2019-07-15 06:25:54,81.11,35.3,5,ML,3.5,西藏日土,天然地震,阿里地区,西藏自治区
2221,2019-07-13 08:57:40,128.2,29.2,230,mB,6.0,东海海域,天然地震,[],[]
2222,2019-07-11 20:45:52,76.61,40.36,36,ML,3.1,新疆阿图什,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2223,2019-07-09 02:35:35,122.54,23.88,13,Ms,4.5,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2224,2019-07-06 22:35:05,93.52,32.52,10,Ms,3.6,青海杂多,天然地震,玉树藏族自治州,青海省
2225,2019-07-05 18:25:21,94.79,32.17,7,ML,3.4,西藏丁青,天然地震,昌都市,西藏自治区
2226,2019-07-04 23:13:52,87.1,35.95,9,Ms,4.2,西藏双湖,天然地震,那曲市,西藏自治区
2227,2019-07-04 10:17:57,104.78,28.4,8,Ms,5.5,四川珙县,天然地震,宜宾市,四川省
2228,2019-07-04 06:45:19,104.85,28.4,8,ML,3.4,四川长宁,天然地震,宜宾市,四川省
2229,2019-07-04 03:32:24,91.93,32.94,10,Ms,4.3,青海唐古拉,天然地震,海西蒙古族藏族自治州,青海省
2230,2019-07-03 12:26:53,104.85,28.39,9,Ms,4.6,四川长宁,天然地震,宜宾市,四川省
2231,2019-07-02 18:17:23,95.37,37.41,10,ML,3.3,青海大柴旦,天然地震,海西蒙古族藏族自治州,青海省
2232,2019-07-01 02:48:18,83.82,41.2,7,ML,3.0,新疆库车,天然地震,阿克苏地区,新疆维吾尔自治区
2233,2019-06-30 21:32:30,104.8,28.46,6,ML,3.1,四川长宁,天然地震,宜宾市,四川省
2234,2019-06-30 03:44:12,122.31,22.41,30,Ms,4.8,台湾台东海域,天然地震,[],[]
2235,2019-06-30 03:09:28,98.98,31.01,20,ML,3.0,四川白玉,天然地震,甘孜藏族自治州,四川省
2236,2019-06-30 00:20:01,122.42,24.81,151,mB,4.6,台湾宜兰海域,天然地震,中华人民共和国,中华人民共和国
2237,2019-06-29 23:54:12,81.84,43.31,20,ML,3.1,新疆特克斯,天然地震,伊犁哈萨克自治州,新疆维吾尔自治区
2238,2019-06-29 22:08:17,104.75,28.44,8,ML,3.4,四川长宁,天然地震,宜宾市,四川省
2239,2019-06-29 21:20:19,82.69,33.6,6,Ms,4.0,西藏改则,天然地震,阿里地区,西藏自治区
2240,2019-06-29 10:12:27,112.06,27.57,7,ML,3.3,湖南双峰,天然地震,娄底市,湖南省
2241,2019-06-27 16:01:20,104.94,28.2,5,ML,3.7,四川兴文,天然地震,宜宾市,四川省
2242,2019-06-27 04:55:53,104.8,28.44,7,ML,3.3,四川长宁,天然地震,宜宾市,四川省
2243,2019-06-26 00:33:39,104.8,28.42,5,ML,3.2,四川珙县,天然地震,宜宾市,四川省
2244,2019-06-26 00:33:17,104.81,28.42,8,ML,3.3,四川长宁,天然地震,宜宾市,四川省
2245,2019-06-25 03:14:45,77.8,37.62,20,ML,3.2,新疆皮山,天然地震,和田地区,新疆维吾尔自治区
2246,2019-06-25 03:10:22,87.84,34.71,6,ML,3.6,西藏双湖,天然地震,那曲市,西藏自治区
2247,2019-06-24 21:24:22,101.64,24.93,10,Ms,4.8,云南楚雄,天然地震,楚雄彝族自治州,云南省
2248,2019-06-24 09:23:15,104.79,28.45,8,ML,4.0,四川长宁,天然地震,宜宾市,四川省
2249,2019-06-24 07:34:58,104.84,28.4,6,ML,3.6,四川长宁,天然地震,宜宾市,四川省
2250,2019-06-24 04:47:22,104.79,28.43,6,ML,3.2,四川珙县,天然地震,宜宾市,四川省
2251,2019-06-23 16:06:50,104.88,28.33,3,ML,3.1,四川长宁,天然地震,宜宾市,四川省
2252,2019-06-23 15:21:20,74.09,38.63,8,ML,3.2,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2253,2019-06-23 08:28:18,104.82,28.39,7,Ms,4.5,四川珙县,天然地震,宜宾市,四川省
2254,2019-06-23 06:22:38,122.84,23.72,11,Ms,4.0,台湾花莲海域,天然地震,[],[]
2255,2019-06-23 05:08:23,104.78,28.44,9,ML,3.4,四川长宁,天然地震,宜宾市,四川省
